"Path","Name","Modified","Size","LineCount","Sha1","First5"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260428_1158_after_role_based_mtf_profile_lock.pine","smc_core_detector_L0_completion_rule_reachable_20260428_1158_after_role_based_mtf_profile_lock.pine","2026-04-28 12:01:02","38680","558","A0D38909F2CF8851527120B7E1D866DA62F28541","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260428_1158_before_role_based_mtf_profile_lock.pine","smc_core_detector_L0_completion_rule_reachable_20260428_1158_before_role_based_mtf_profile_lock.pine","2026-04-28 11:36:50","38675","549","2F092DBC44098B4AFC926F85CDE806875997B72D","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260428_1210_post_stage_6_1_snapshot.pine","smc_core_detector_L0_completion_rule_reachable_20260428_1210_post_stage_6_1_snapshot.pine","2026-04-28 12:01:02","38680","558","A0D38909F2CF8851527120B7E1D866DA62F28541","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260429_1431_stage_7_0_rearm_design_snapshot.pine","smc_core_detector_L0_completion_rule_reachable_20260429_1431_stage_7_0_rearm_design_snapshot.pine","2026-04-28 12:01:02","38680","558","A0D38909F2CF8851527120B7E1D866DA62F28541","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260429_1436_stage_7_0_rearm_design_558_snapshot.pine","smc_core_detector_L0_completion_rule_reachable_20260429_1436_stage_7_0_rearm_design_558_snapshot.pine","2026-04-28 12:01:02","38680","558","A0D38909F2CF8851527120B7E1D866DA62F28541","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260429_1450_stage_7_0b_break_visual_addendum_snapshot.pine","smc_core_detector_L0_completion_rule_reachable_20260429_1450_stage_7_0b_break_visual_addendum_snapshot.pine","2026-04-28 12:01:02","38680","558","A0D38909F2CF8851527120B7E1D866DA62F28541","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260429_1456_after_stage_7_1_post_none_rearm.pine","smc_core_detector_L0_completion_rule_reachable_20260429_1456_after_stage_7_1_post_none_rearm.pine","2026-04-29 14:58:35","40066","581","ED03BD876F672231B7963E8A59F87EF81887EEB6","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260429_1456_before_stage_7_1_post_none_rearm.pine","smc_core_detector_L0_completion_rule_reachable_20260429_1456_before_stage_7_1_post_none_rearm.pine","2026-04-28 12:01:02","38680","558","A0D38909F2CF8851527120B7E1D866DA62F28541","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260429_1611_stage_7_2c_display_tf_invariance_audit_snapshot.pine","smc_core_detector_L0_completion_rule_reachable_20260429_1611_stage_7_2c_display_tf_invariance_audit_snapshot.pine","2026-04-29 14:58:35","40066","581","ED03BD876F672231B7963E8A59F87EF81887EEB6","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
"D:\SMC_PROJECT\01_PINE\archive\smc_core_detector_L0_completion_rule_reachable_20260430_1348_stage_7_2d_rollback_reachability_snapshot.pine","smc_core_detector_L0_completion_rule_reachable_20260430_1348_stage_7_2d_rollback_reachability_snapshot.pine","2026-04-29 14:58:35","40066","581","ED03BD876F672231B7963E8A59F87EF81887EEB6","//@version=6 || indicator(""SMC Core Detector L0 Completion Rule Reachable"", overlay=true, max_labels_count=20, max_lines_count=20) ||  || // 1. INPUTS || pivotLen = input.int(3, ""Pivot Length"", minval=1)"
